Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)	
633		36/26	f°	Papier	I, 333	30 : 22	1438	51			1450	192		1450	193v			XV																Benediktinerstift St. Lambrecht				
634*		35/9	f°	Papier	205	30 : 20	1433	149										XV/1																Zisterzienserstift Neuberg			ist seit 1945 verschollen	
635		35/34	f°	Papier	I, 241	29 : 21	1416	227																										Zisterzienserstift Neuberg				
636		36/28	f°	Papier	286	28 : 21	1438	80v	1-80		1377	228, 	205-228					XV/1																Benediktinerstift St. Lambrecht			Bl. 1-80 : 1438 (Bl. 80v), Bl. 205-228 : 1377 (Bl. 228)	
637*		35/70	f°	Papier	I, 164	29 : 21	1461	162v																										Benediktinerstift St. Lambrecht			ist seit 1945 verschollen	
638		36/57	f°	Papier	I, 180	29 : 21	1472	180v																										Zisterzienserstift Neuberg				
639		35/35	f°	Papier	II, 281	29 : 21																		AnfangXV									   	Chorherrenstift Seckau				
640		33/24	f°	Papier	237	30 : 20												XVII		XVIII														Kartause Seitz  			1976 an Jugoslawien abgetreten. Nur mehr in Kopie vorhanden	
641		36/33	f°	Papier	I, 239	30 : 21												XV																Benediktinerstift St. Lambrecht				
642		36/35	f°	Papier	I, 175	30 : 21	1388	168v																										Zisterzienserstift Neuberg				
643		36/30	f°	Papier	I,281	29 : 21	1469	1			1469	241v																										
644		36/65	f°	Papier	482	29 : 21	1474	482v																										Zisterzienserstift Neuberg				
645		35/6	f°	Papier	I, 239	29 : 21	1439	280																										Chorherrenstift Seckau				
646		36/43	f°	Papier	537	29 : 21												XV															Hieronymus Odontius	Benediktinerstift St. Lambrecht				
647		36/44	f°	Papier	I, 393	29 : 21	1468	66v																										Chorherrenstift Seckau				
648		35/38	f°	Papier	278	30 : 21	1408	138			1401	277v																						Zisterzienserstift Neuberg				
649		35/39	f°	Papier	187	30 : 20												XIV/2																Dominikanerkloster Pettau?				
650		35/61	f°	Papier	240	29 : 21	1496	240																										Zisterzienserstift Neuberg			1496 in infirmitorio	
651		35/40	f°	Papier	I,169, I	29 : 23																		um 1460										Chorherrenstift Seckau				
652		36/48	f°	Papier	341	 29 : 22												XV																Zisterzienserstift Neuberg				
653		35/37	f°	Papier	I, 259, I	29 : 21												XV																Zisterzienserstift Neuberg				
654		35/36	f°	Papier	263	29 : 21	1458	218																									Johannes Erenhauser	Chorherrenstift Seckau				
655		36/37	f°	Papier	I,275	29 : 20																		nach 1436	188								Andreas Raser	Zisterzienserstift Neuberg				
656		33/22	f°	Papier	II, 223	30 : 22																		um 1400										Benediktinerstift St. Lambrecht				
657		35/33	f°	Papier	299	28 : 21	1457	228			1457	250																						Dominikanerkloster Leoben				
658*		95/32	f°	Papier	I, 275, I	29 : 21	1455	251			1455	275																						Zisterzienserstift Neuberg			Ist seit 1945 verschollen	
659*		36/45	f°	Papier	I, 314	30 : 22												XV																Zisterzienserstift Neuberg			Ist seit 1945 verschollen	
660*		36/46	f°	Papier	I, 418	30 : 21	1414	418v																									Marquard Stellingh				Ist seit 1945 verschollen	
661		33/20	f°	Papier	151	29 : 21												XVI/1																Benediktinerstift St. Lambrecht				
662		35/31	f°	Papier	265	30 : 21												XV/2																Zisterzienserstift Neuberg				
663*		33/23	f°	Papier	235	30 : 21												XV			                                            													Zisterzienserstift Neuberg			Ist seit 1945 verschollen	
664*		33/25	f°	Papier	118	30 : 22												XIV/2																Chorherrenstift Seckau			Ist seit 1945 verschollen	
665*		33/26	f°	Papier	206	30 : 21	1445	78			1449	205v																						Benediktinerstift St. Lambrecht			Ist seit 1945 verschollen	
666*		33/28	f°	Papier	177	29 : 21																		Mitte XV										Benediktinerstift St. Lambrecht			Die Handschrift ist seit 1945 verschollen	
667*		35/59	f°	Papier	302	29 : 21	1441	300																										Zisterzienserstift Neuberg			Die Handschrift ist seit 1945 verschollen	
668		35/60	f°	Papier	154	29 : 21												XV															Andreas Widmerer	Zisterzienserstift Neuberg ?				
669		33/27	f°	Papier	I, 186, I	30 : 21	1416	186v																										Zisterzienserstift Neuberg				
670		35/47	f°	Papier	358	30 : 21	1418	358v																										Zisterzienserstift Neuberg				
671		35/44	f°	Papier	358	29 : 21	1452	358																										Zisterzienserstift Neuberg				
672		35/21	f°	Papier	157	29 : 22												XIV/2																Zisterzienserstift Neuberg			… von Andreas Kurzmann geschrieben	
673		36/41	f°	Papier	113	29 : 22	1360	109v																									Matthias von Horzowycz	Benediktinerstift St. Lambrecht				
674		36/36	f°	Papier	228	28 : 22												XV																Chorherrenstift Seckau				
675		36/55	f°	Papier	II, 258, II	27 : 20	1437	96v										XV/1																Benediktinerstift St. Lambrecht				
676		35/43	f°	Papier	II, 94	28 : 21	1458	22v 			1458	24																						Chorherrenstift Seckau				
677		35/74	f°	Papier	145	31 : 21												XV/2																Zisterzienserstift Neuberg				
678		35/72	f°	Papier	158	30 : 21												XV/1																Benediktinerstift St. Lambrecht				
679		35/65	f°	Papier	I, 206, I	30 : 22	1442	206																										Benediktinerstift St. Lambrecht				
680		35/66	f°	Papier	215	30 : 22	1414	20v			141	1414	34v	1414	50v																			Benediktinerstift St. Lambrecht				
681		35/63	f°	Papier	196	30 : 21	1404	196v																										Benediktinerstift St. Lambrecht				
682		36/78	f°	Papier	347	29 : 21	1447	55v			1448	158																						Benediktinerstift Millstatt		Jesuitenkollegium Graz	(Alte Signatur 36/78 f°)	
683		35/71	f°	Papier	158	30 : 21	1397	56																um 1400										Benediktinerstift Millstatt		Jesuitenkollegium Graz		
684*		35/68	f°	Papier	218	29 : 21												XV																Zisterzienserstift Neuberg			Ist seit 1945 verschollen	
685*		35/73	f°	Papier	XII, 217	30 : 21												XV/1																Zisterzienserstift Neuberg ?			Ist seit 1945 verschollen	
686*		34/24	f°	Papier	264	29 : 22												XV																Benediktinerstift St. Lambrecht			Ist seit 1945 verschollen	
687		36/68	f°	Papier	211	29 : 21	1378	111v																										Prämonstratenser Abtei Geras in Niederösterreich		Zisterzienserstift Neuberg		
688		36/69	f°	Papier	249	29 : 21																		Mitte XV										Chorherrenstift Seckau				
689*		36/79	f°	Papier, Pergament 	I, 240	29 : 20												XV		XIV/2	99-182													Chorherrenstift Seckau			Ist seit 1945 verschollen; Papier und Pergament (die äußeren Blätter der ersten zehn Ternionen)	
690		36/80	f°	Papier	185	30 : 22												XV																Kartause Seitz				
691		36/76	f°	Papier	291	29 : 21	1453	285																										Benediktinerstift Millstatt		Jesuitenkollegium Graz		
692		35/64	f°	Papier	183	30 : 21												XV																Zisterzienserstift Neuberg				
693		34/39	f°	Papier	XIV, 238	29 : 20												XVIII																				
694*		34/27	f°	Papier	235	29 : 20	1450	57v																										Benediktinerstift St. Lambrecht			Ist seit 1945 verschollen	
695*		33/39	f°	Papier	204	29 : 19																		nach 1720													Ist seit 1945 verschollen	
696*		34/29	f°	Papier	289	29 : 20												XVIII/1																			Ist seit 1945 verschollen; Gleichzeitiger Papierumschlag	
697		41/26	f°	Pergament	267	33 : 24												XI/2																Benediktinerstift Millstatt				
698		41/25	f°	Pergament	278, I	34 : 23												XII																Chorherrenstift Seckau				
699		39/14	f°	Pergament	I, 219	33 : 23												XIV/1																Zisterzienserstift Neuberg				
700		40/32	f°	Pergament	200	32 : 23	1331	200v																										Chorherrenstift Seckau				
701		39/15	f°	Pergament	294	32 : 22												XIV/2																Chorherrenstift Seckau				
702		40/47	f°	Pergament	229	32 : 23																		um 1300										Dominikanerkloster Pettau ?				
703		38/36	f°	Pergament	360	32 : 23																		Anfang XIV										Benediktinerstift St. Lambrecht				
704		40/33	f°	Pergament	106	32 : 22												XIV/1																Zisterzienserstift Neuberg				
705		40/48	f°	Pergament	I, 382	31 : 22												XIV/1																Zisterzienserstift Neuberg				
706		42/55	f°	Papier, Pergament	118	30 : 21												XV/1																Benediktinerstift St. Lambrecht				
707*		42/56	f°	Pergament	119	31 : 20												XIV																Kartause Seitz				
708		42/65	f°	Papier	340	32 : 22	1403	288v																Anfang XV									Heinrich von Lobenstein	Benediktinerstift St. Lambrecht				
709		34/28	f°	Papier	147	30 : 21	1424	143v																										Benediktinerstift St. Lambrecht				
710		33/41	f°	Papier	III, 135	30 : 21				1671-1747																												
711		35/75	f°	Papier	258	30 : 20	1587	224v			1588	257																										
712		42/37	f°	Papier	258	31 : 21												XV																Benediktinerstift St. Lambrecht				
713		41/23	f°	Pergament	376	33 : 24	1216	376v																										Benediktinerstift St. Lambrecht				
714		41/51	f°	Pergament	II, 324	34 : 22																		Mitte XIV										Benediktinerstift St. Lambrecht				
715		41/34	f°	Pergament	III, 254	33 : 25												XIV/2																Zisterzienserstift Neuberg				
716		38/35	f°	Pergament	400	32 : 22												XV/1																Chorherrenstift Seckau				
717		41/37	f°	Pergament	280	33 : 23																		Mitte XIV										Benediktinerstift St. Lambrecht				
718		41/27	f°	Pergament	183	31 : 22																		Anfang XIV										Zisterzienserstift Neuberg ?				
719		41/36	f°	Pergament	200	32 : 22																		um 1200										Benediktinerstift St. Lambrecht				
720		41/48	f°	Pergament	159	33 : 22												XII/2																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
721		41/49	f°	Pergament	I, 183, I	33 : 22																		um 1300										Dominikanerkloster Pettau ?				
722		41/50	f°	Pergament	99	33 : 24																		Mitte XIV										Benediktinerstift St. Lambrecht				
723		41/46	f°	Pergament	153	33 : 22												XIII/1															Otto Tardus	Chorherrenstift Seckau				
724		41/45	f°	Pergament	300	32 : 22																		Mitte XIII									Otto Tardus	Chorherrenstift Seckau				
725		41/44	f°	Pergament	I, 246	32 : 23												XIV/2																				
726		37/47	f°	Papier	I, 242	31 : 21	1398	105v																um 1400										Zisterzienserstift Neuberg				
727		38/34	f°	Pergament	468	30 : 22																		Ende XIV										Chorherrenstift Seckau				
728		37/48	f°	Papier	223	30 : 22	1412	223v																														
729		38/37	f°	Pergament	246	32 : 21																		Spätes XIV										Zisterzienserstift Neuberg ?				
730		41/33	f°	Pergament	I, 465	31 : 22												XIV/1																Zisterzienserstift Neuberg				
731		42/46	f°	Papier	417	30 : 21	1471	252, 259										XV/2																				
732		42/49	f°	Papier	518	30 : 22												XV/1																Zisterzienserstift Neuberg				
733	1	34/22	f°	Papier	651	29 : 21												XV/1																Benediktinerstift St. Lambrecht				
733	2	34/25	f°	Papier	362	29 : 20																		vor 1473										Benediktinerstift St. Lambrecht				
734		34/26	f°	Papier	I, 312	30 : 22	1397	285v																										Zisterzienserstift Neuberg				
735		42/53	f°	Pergament	II, 124	29 : 20												XII/2																Chorherrenstift Seckau				
736		39/20	f°	Pergament	144	30 : 20												XII																Chorherrenstift Seckau				
737		39/21	f°	Pergament	122	30 : 20												XII																Chorherrenstift Seckau				
738		42/48	f°	Papier	264	30 : 21	1375	231																										Chorherrenstift Seckau				
739		35/76	f°	Papier	I, 205	30 : 21												XIV/2																Chorherrenstift Seckau				
740		33/31	f°	Papier	355	28 : 20																		um 1500										Benediktinerstift St. Lambrecht				
741		33/36	f°	Papier	I, 80	29 : 20																		um 1400										Jesuitenkollegium Graz				
742		36/72	f°	Papier	I, 280	29 : 21												XV/1																Kartause Seitz				
743		36/71	f°	Papier	I, 297	29 : 21	1460	18			1460	139v		1460	250v	1460	297																	Chorherrenstift Seckau				
744		34/23	f°	Papier	269	30 : 22																		Mitte XIV										Chorherrenstift Seckau				
745		40/63	f°	Pergament	I, 204	29 : 21												XIII																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
746		40/55	f°	Pergament	319	30 : 21	1318	310v																										Zisterzienserstift Neuberg				
747		36/73	f°	Papier	341	29 : 21												XV/1																Kartause Seitz				
748		40/64	f°	Pergament	II, 265	30 : 18																		Anfang XIII										Chorherrenstift Seckau				
749		40/52	f°	Pergament	II, 228	29 : 21												XIII/1																Benediktinerstift St. Lambrecht				
750		40/62	f°	Pergament	117	29 : 20												XII/2																Chorherrenstift Seckau				
751		42/44	f°	Papier	I, 180	30 : 21												XV/1																Zisterzienserstift Neuberg				
752		34/20	f°	Papier	I, 335	29 : 21	1419	250v																										Benediktinerstift St. Lambrecht				
753		40/60	f°	Pergament	264	28 : 19	1379	264v																										Benediktinerstift St. Lambrecht				
754		42/42	f°	Papier	103	30 : 22	1393	99v																										Benediktinerstift St. Lambrecht				
755		40/53	f°	Pergament	I, 228	29 : 20												XII 																Chorherrenstift Seckau				
756		42/51 	f°	Pergament	230	29 : 20	1345	228v																										Chorherrenstift Seckau				
757		40/83	f°	Pergament	446	28 : 20												XIV/1																Chorherrenstift Seckau				
758		40/68	f°	Pergament	86	28 : 20												XIII		XII	54-86													Benediktinerstift Millstatt		Jesuitenkollegium Graz		
759		41/27	4°	Pergament	187	 26 : 18												XII/1																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
760		40/12	4°	Pergament	I, 175	26 : 18												XII/2																Chorherrenstift Seckau				
761		40/66	f°	Pergament	196	23 : 18												XII/2						Anfang XIII	ab 34									Benediktinerstift St. Lambrecht				
762		40/95	4°	Pergament	232	25 : 19																		um 1300														
763		40/81	f°	Pergament	I, 340	26 : 20												XII/2																Chorherrenstift Seckau				
764		40/11	4°	Pergament	82	25 : 18												XII/1																Chorherrenstift Seckau				
765		41/11	4°	Pergament	118	26 : 18	1343	118v																										Benediktinerstift Millstatt		Jesuitenkollegium Graz		
766		41/35	4°	Pergament	144	25 : 17																		Ende XII										Chorherrenstift Seckau				
767		41/13	4°	Pergament	164	26 : 18																		um 1300										Chorherrenstift Seckau				
768		41/6	4°	Pergament	192	25 : 17												XII/2																Chorherrenstift Seckau				
769		40/70	f°	Pergament	235	26 : 18																		um 1200										Chorherrenstift Seckau				
770		40/99	4°	Pergament	314	24 : 17												XII/2																Chorherrenstift Seckau				
771		41/5	4°	Pergament	198	23 : 18												XI	1-82	XI 	158-160, 167, 192, 198			Ende IX	83-198									Benediktinerstift St. Lambrecht			158-160, 167, 192, 198 sind Ergänzungen des XI Jhs.	
772		40/105	4°	Pergament	154	23 : 16																		Mitte XII										Chorherrenstift Seckau				
773		40/88	4°	Pergament	314	25 : 20												XIII/2																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
774		40/98	f°	Pergament	398	25 : 17	1412	397v			1413	326v																						Benediktinerstift St. Lambrecht 				
775		40/10	4°	Pergament	313	24 : 17												XIV/1																Chorherrenstift Seckau				
776		40/3	4°	Pergament	96	25 : 17												XII/1																Benediktinerstift St. Lambrecht				
777		40/13	4°	Pergament	238	25 : 17												XV/1																Kartause Seitz				
778		40/97	f°	Pergament	321	25 : 18												XII/2																Chorherrenstift Seckau				
779		41/9	4°	Pergament	191	25 : 16												XIII/2																Dominikanerkloster Pettau				
780		41/29	4°	Pergament	265	24 : 16	1346	265v																										Benediktinerstift St. Lambrecht				
781		40/111	4°	Pergament	175	25 : 17												XIII/1																Chorherrenstift Seckau				
782		41/4	4°	Pergament	229	25 : 16												XIII/1																Chorherrenstift Seckau				
783		41/22	4°	Pergament	120	25 : 19												XIV/1																Chorherrenstift Seckau				
784		41/12	4°	Pergament	I, 148	25 : 16												XII																Chorherrenstift Seckau				
785		42/26	4°	Pergament	I, 228	24 : 16												XIV/2																Chorherrenstift Seckau				
786		34/16	4°	Papier	V, 121	23 : 17												XVII/2																				
787		41/17	4°	Pergament	75	23 : 16												XIV																Zisterzienserstift Neuberg				
788		41/14	4°	Pergament	137	24 : 16												XI/2		XIII/1	ab 94													Benediktinerstift Millstatt		Jesuitenkollegium Graz		
789		40/93	f°	Pergament	394	25 : 18												XIII																Chorherrenstift Seckau				
790		41/10	4°	Pergament	238	24 : 15																		Mitte IX										Benediktinerstift St. Lambrecht				
791		40/112	4°	Pergament	I, 141	25 : 18												XIV																Chorherrenstift Seckau				
792		41/19	4°	Pergament	125	25 : 16												XIV/1																Benediktinerstift St. Lambrecht				
793		41/32	4°	Pergament	I, 187	27 : 19												XII																Chorherrenstift Seckau				
794		40/14	4°	Pergament	135	25 : 19																		Anfang XIV										Benediktinerstift St. Lambrecht				
795		41/26	4°	Pergament	160	24 : 17												XII																Benediktinerstift St. Lambrecht				
796		40/9	4°	Pergament	155	24 : 16												XII																Benediktinerstift St. Lambrecht				
797		34/1	4°	Pergament	96	24 : 17	1462	92v																										Benediktinerstift St. Lambrecht				
798		37/1	4°	Pergament	166	23 : 16																		Anfang XIII										Benediktinerstift St. Lambrecht				
799		41/24	4°	Pergament	134	24 : 17												XII/1																Benediktinerstift St. Lambrecht				
800		33/48	f°	Papier	18	34:21	1776																															
801		41/76	4°	Pergament	I, 113	24 : 18												XIII/2						um 1100	ab 56									Benediktinerstift St. Lambrecht 				
802		40/6	4°	Pergament	I, 168	24 : 17												XIII 																				
803		41/23	4°	Pergament	216	24 : 16												XIII																Chorherrenstift Seckau				
804		40/2	4°	Pergament	151	25 : 18												XII		XIII	ab 77													Benediktinerstift Millstatt		Jesuitenkollegium Graz		
805		40/8	4°	Pergament	218	24 : 17												XI/2																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
806		40/7	4°	Pergament	136	23 : 17												XII																Benediktinerstift St. Lambrecht 				
807		41/2	4°	Pergament	168	23 : 15												XII																Chorherrenstift Seckau				
808		40/16	4°	Pergament	92	24 : 16												XIII																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
809		41/7	4°	Pergament	120	24 : 15												XIII																Chorherrenstift Seckau				
810*		41/3	4°	Pergament	152	24 : 16												XIV		XIII	26-152													Benediktinerstift Millstatt		Jesuitenkollegium Graz	Ist seit 1945 verschollen. 	
811		40/4	4°	Pergament	77	23 : 18												XII																Chorherrenstift Seckau				
812*		40/5	4°	Pergament	286	23 : 17												XIV/1																			Ist seit 1945 verschollen.	
813		41/72	4°	Pergament	206	23 : 17																		Ende XIV										Benediktinerstift St. Lambrecht 				
814*		35/2	4°	Pergament	I, 317	21 : 15	1412	316v										XV																Benediktinerstift St. Lambrecht 			Ist seit 1945 verschollen. 	
815		40/15	4°	Pergament	123	26 : 17												XII																Millstatt		Jesuitenkollegium Graz		
816		40/17	4°	Pergament	98	24 : 17												XIV																Chorherrenstift Seckau				
817*		40/24	4°	Pergament	163	23 : 16	1364	162v																										Benediktinerstift St. Lambrecht 			Ist seit 1945 verschollen. 	
818		41/75	4°	Pergament	I, 353	23 : 15												XIII/2																Zisterzienserstift Neuberg 				
819		41/62	4°	Pergament	109	23 : 16												XIII 																Benediktinerstift St. Lambrecht 				
820		42/16	4°	Pergament	I, 75	24 : 18												XII																Chorherrenstift Seckau				
821*		41/60	4°	Pergament	123	23 : 16												XIV/1																Zisterzienserstift Neuberg 			Ist seit 1945 verschollen.	
822*		41/59	4°	Pergament,Papier	122	23 : 17												XIV 	ab 73					um 1400										Benediktinerstift St. Lambrecht 			Ist seit 1945 verschollen.	
823		41/65	4°	Pergament	118	23 : 17												XIII																Chorherrenstift Seckau				
824*		41/64	4°	Pergament	410	23 : 16																		um 1300										Zisterzienserstift Neuberg 			Ist seit 1945 verschollen.	
825*		42/18	4°	Pergament	I, 44	22 : 15												XV/2																Chorherrenstift Seckau			Ist seit 1945 verschollen.	
826		41/69	4°	Pergament	88	23 : 17												XIII																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
827*		42/23	4°	Pergament	4	23 : 16	1689																														1689 IV 1,  Ist seit 1945 verschollen. 	
828		41/70	4°	Pergament	134	23 : 16												XII																Benediktinerstift St. Lambrecht 				
829		40/25	4°	Pergament	103	22 : 16												XIII/1																Chorherrenstift Seckau				
830		42/17	4°	Pergament	159	23 : 16			1-49	1336-1339								XIII/1	137-145	XIII/2	146-159			um 900	50-104	Anfang XIV	105-120	Ende XIII	121-136					Benediktinerstift St. Lambrecht 				
831*		41/8	4°	Pergament	360	23 : 16																		Anfang XIV										Chorherrenstift Seckau				
832		40/100	4°	Pergament	258	23 : 17												XII/2																Chorherrenstift Seckau				
833*		40/106	4°	Pergament	203	22 : 17	1400	202v																										Kartause Seitz 			Ist seit 1945 verschollen. 	
834		41/20	4°	Pergament	193	22 : 15												XIV															Heinrich von Lobenstein	Benediktinerstift St. Lambrecht 				
835		42/15	4°	Pergament	82	22 : 17												XII/2																Chorherrenstift Seckau				
836		40/18	4°	Pergament	I,225	23 : 15												XIV																Benediktinerstift Millstatt		Jesuitenkollegium Graz		
837		41/61	4°	Pergament	109	22 : 17												XIV																Benediktinerstift St. Lambrecht 				
838		41/79	4°	Pergament	265	23 : 16												XIV																Dominikanerkloster Pettau				
839		42/29	4°	Papier	443	24 : 17	1568	1																														
840		42/51		Pergament	I, 190	24 : 17												XIV																Zisterzienserstift Neuberg				
841		41/78	4°	Pergament	149	23 : 16																		um 1270										Benediktinerstift St. Lambrecht				
842		40/1	4°	Pergament	II, 171	22 : 16																		Anfang XIII										Zisterzienserstift Neuberg				
843		40/23	4°	Pergament	383	22 : 15												XIV/2																Benediktinerstift St. Lambrecht				
844		34/81	4°	Papier	I, 68	23 : 18	1810																															
845		41/77	4°	Pergament	494	23 : 17												XIV/1																				
846		41/71	4°	Pergament	287	21 : 14																		Ende XIII										Jesuitenkollegium Graz				
847		41/55	4°	Pergament	128	22 : 15																		um 1200										Benediktinerstift St. Lambrecht 				
848		41/57	4°	Pergament	196	21 : 14																		um 1200										Benediktinerstift St. Lambrecht 				
849		36/1	4°	Papier	I, 373	22 : 14												XV																Benediktinerstift St. Lambrecht 				
850		38/5	4°	Pergament	225	22 : 15												XV																Zisterzienserstift Neuberg				
851		36/7	4°	Papier	I, 294, I	22:15	1424	170										XV/1																Kartause Seitz				
852		36/11	4°	Papier	331	22:15	1435	20v, 72v, 186, 193v			1434	95, 178		1440	221v	1439	234																	Zisterzienserstift Neuberg				
853		36/12	4°	Papier	II, 313, II	21:15	1467	149v																										Dominikanerkloster Pettau 				
854		42/43	4°	Papier	283	21:16	1486	134v			1487	221		1488	229																			Benendiktinerstift St. Lambrecht				
855		36/6	4°	Papier	348	23:15																		Mitte XV										Benendiktinerstift St. Lambrecht				
856		38/47	4°	Papier	249	22:14	1428	156v			1428	169		1431	227v	1462	237																	Zisterzienserstift Neuberg				
857		36/25	4°	Papier	230, I	22:14																		um 1400										Benendiktinerstift St. Lambrecht				
858		42/27	4°	Pergament	246	22:15												XIV																Chorherrenstift Seckau				
859		42/34	4°	Pergament	24	22:16												XIII/2																				
860		42/50	4°	Papier	573	22:16	1659	5			1659	477		1660	121																							
861		42/28	4°	Papier	I, 122	22:15												XV/2																Benediktinerstift St. Lambrecht				
862		42/48	4°	Papier	96	22:15	1468	93																										Zisterzienserstift Neuberg				
863		37/3	4°	Papier	323	22:14	1459	319v																										Chorherrenstift Seckau				
864		40/96	f°	Pergament	344	22:15												XII/2																Chorherrenstift Seckau				
865		42/21	4°	Papier	131	22:16												XVII/2																				
866		42/22	4°	Papier	146	22:16	1732	4																														
867		41/56	4°	Pergament	I, 82, I	23:17																		Ende XIII														
868		37/2	4°	Papier	474	22:14												XV																Zisterzienserstift Neuberg				
869		37/7	4°	Papier	156	22:14												XV/1																Zisterzienserstift Neuberg				
