Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
1227				Papier	67	21 : 16																		Mitte XVI													
1228		41/85	4°	Papier	81	21 : 13												XIV/2																			
1229				Papier	135	21 : 15												XVII																			
1230		42/90	4°	Pergament	38, I	22 : 15	1353	38v																													
1231		41/105	4°	Papier	576	22 : 18												XVIII																			36 Lagen zu 16 Bl
1232		37/62 	4°	Papier	95	22 : 14												XV																Zisterzienserstift Neuberg			
1233				Papier	V, 229	22 : 16																		Anfang XVII													
1234		33/13	4°	Papier	190	22 : 15	1452	173r																										Zisterzienserstift Neuberg			
1235		41/81	4°	Pergament	325	22 : 16																		Anfang XIV										Chorherrenstift Seckau			
1236		35/61	4°	Pergament	I, 120	21 : 15												XV/1																Benediktinerstift St. Lambrecht			
1237		42/95	4°	Pergament	52	23 : 16												XIV																Jesuitenkollegium Graz			
1238				Papier	V, 80	22 : 14																		um 1785													
1239		33/1	4°	Papier	129	22 : 14												XIV/2																Kartause Seitz			
1240				Papier	126	22 : 15	1542																														
1241		35/60	4°	Papier	131	22 : 16												XVII																			
1242		40/21	4°	Pergament	144	22 : 14												XII/1																Benediktinerstift St. Lambrecht			
1243		40/22	4°	Pergament	II, 166	22 : 15																		Anfang XV													
1244		40/26	4°	Pergament	157	22 : 15																		Ende XII										Chorherrenstift Seckau			
1245		42/80	4°	Papier	140	22 : 14																		Ende XIV										Zisterzienserstift Neuberg			
1246		42/78 	4°	Papier	80	21 : 16												XVII																			
1247		42/88	4°	Pergament	208	22 : 15																		Anfang XIII										Chorherrenstift Seckau			
1248		39/17	4°	Pergament	180	22 : 15												XIV/2																Benediktinerstift St. Lambrecht			
1249		40/20	4°	Pergament	I, 114	21 : 15												XIII/2																Chorherrenstift Seckau			
1250		39/18	4°	Pergament	183	22 : 16												XIV/1																Benediktinerstift Millstadt			
1251				Papier	142	21 : 15																		um 1660													ungebunden
1252				Papier	267	21:15																		um 1660													ungebunden
1253		37/63	4°	Papier	I, 89, I	22 : 15	1403	88v																										Zisterzienserstift Neuberg			
1254		37/58	4°	Papier	180	21 : 15	1396	180v																										Zisterzienserstift Neuberg			
1255		42/64	4°	Pergament	90	21 : 15												XIV																Benediktinerstift St. Lambrecht			
1256		42/92	4°	Pergament	267	21 : 15												XIII/2																Benediktinerstift St. Lambrecht			
1257		42/93	4°	Pergament	I, 329, I 	21 : 17																		Ende XII										Chorherrenstift Seckau			
1258		38/20	4°	Papier	216	21 : 15																		um 1400										Zisterzienserstift Neuberg			
1259		34/14	4°	Papier	238	21 : 14	1452	72v			1444	108v		1460	174r			XV																Zisterzienserstift Neuberg			
1260		34/18	4°	Papier	176	21 : 16																		um 1500													
1261		42/91	4°	Pergament	III, 122	21 : 15																		um 1300													
1262		37/59	4°	Papier	157	21 : 15												XV																Zisterzienserstift Neuberg			
1263				Papier	119	21 : 16																		bald nach 1578										Kartause Gaming			
1264		38/35	4°	Papier	184	21 : 14												XIV/2																Zisterzienserstift Neuberg			
1265		42/100	4°	Pergament	155	21 : 13												XIII/2																Kartäuserstift Seitz			
1266		34/15	4°	Papier	265	20 : 14												XV																Zisterzienserstift Neuberg			
1267		42/63	4°	Papier	179	21 : 16	1607	177v																										Chorherrenstift Seckau			
1268	1			Papier	188	21 : 16																		um 1680													St. Lambrechter Nr. 1
1269	2			Papier	190	21 : 16																		um 1680													St. Lambrechter Nr. 1
1269	3			Papier	193	21 : 16																		um 1680													St. Lambrechter Nr. 1
1270				Papier	35	21 : 14	1684																														
1271				Papier	212	22 : 15	1597																														
1272	1	33/36	4°	Papier	497	20 : 16												XVII																			
1272	2	33/36	4°	Papier	310	20 : 16												XVII																			
1273				Papier	319	20 : 15	1681																														
1274	1			Papier		20 : 15	1716																														
1274	2			Papier		20 : 15	1716																														
1275		42/73	4°	Papier	402	20 : 16	1666	1r																													
1276				Papier	130	20 : 15																		um 1652													
1277		35/11	4°	Papier	77	20 : 16												XVII																			
1278				Papier	293	20 : 16				1588-1594																											
1279				Papier	137	20 : 15	1724																														
1280		34/29	4°	Papier	256	20 : 16	1698	207r																													
1281	1	34/85	4°	Papier	180	20 : 16												XVII																			
1281	2	34/85	4°	Papier	177	20 : 16												XVII																			
1282		34/86	4°	Papier	184	19 : 15	1742	183v																									Adamus Breidler can. Reg. Rottenmann				
1283		34/87	4°	Papier	149	20 : 16	1644	60r																													
1284				Papier	185	20 : 16												XVII/1																			
1285				Papier	158	20 : 16				1627-1629																								Jesuitenkolleg Graz			
1286				Papier	160	20 : 15				1729-1736																								Chorherrenstift Rottenmann			
1287		42/69	4°	Pergament	I,182	22 : 14												XII/2																Chorherrenstift Seckau			
1288		42/71	4°	Pergament	170	21 : 14																		um 1400										Chorherrenstift Seckau			
1289		42/72	4°	Pergament	331	20 : 14	1315	328v																										Zisterzienserstift Neuberg			
1290				Papier	I, 350	20 : 16	1638																											Benediktinerstift St. Lambrecht			
1291		42/62	4°	Papier	322	20 : 15												XVIII																Benediktinerstift St. Lambrecht			
1292				Papier	509	20 : 15	1626																														
1293		34/23	4°	Papier	356	20 : 15	1641	1r																										Ferdinandeum Graz			
1294		35/34	4°	Papier	198	21 : 15	1407	34v			1368	195v																						Benediktinerstift St. Lambrecht			
1295		34/51	4°	Papier	I, 258, I	21 : 15	1407	185r										XV																Zisterzienserstift Neuberg			
1296		42/111	4°	Pergament	I, 138	20 : 15												XIII/2																St. Georgs-Ritterorden in Millstatt			
1297		42/112	4°	Pergament	182	20 : 14																		Ende XII										Chorherrenstift Seckau			
1298	1			Papier		20 : 15				1750 - 1753																											
1298	2			Papier		20 : 15				1751 - 1753																											
1298	3			Papier		20 : 15				1752 - 1753																											
1299	1			Papier		19 : 15				1618 - 1620																											
1299	2			Papier		19 : 15				1618 - 1620																											
1300	1			Papier		19 : 15				1619 - 1620																											
1300	2			Papier		19 : 15				1619 - 1620																											
1301	1			Papier		20 : 15	1626																														
1301	2			Papier		20 : 15	1626																														
1302	1	34/59 	4°	Papier	394	20 : 15	1630	41																													
1302	2	34/59	4°	Papier	386	20 : 15 	1631	331																													
1303	1			Papier		19 : 15				1639-1640																											
1303	2			Papier		19 : 15				1639-1640																											
1303	3			Papier		19 : 15				1639-1640																											
1304		34/48	4°	Papier	338	20 : 16	1678	333																													
1305				Papier	254	20 : 15	1644																														
1306	1			Papier		19 : 15				1626-1628																											
1306	2			Papier		19 : 15				1626-1628																											
1306	3			Papier		19 : 15				1626-1628																											
1306	4			Papier		19 : 15				1626-1628																											
1307		34/73	4°	Papier	85	21 : 14												XIV/2																Benediktinerstift St. Lambrecht			
1308		33/22	4°	Papier	VI,190	20 : 16																		nach 1621													
1309	1			Papier		20 : 15				1611-1612																											
1309	2			Papier		20 : 15				1611-1612																											
1310				Papier	283	20 : 15	1630																														
1311		38/8	4°	Pergament und Papier	93	21 : 15												XV																			(Bl. 2-11) Pergament
1312		34/19	4°	Papier	145	21 : 14	1429	138																										Zisterzienserstift Neuberg			
1313		42/108	4°	Pergament und Papier	160	20 : 15																		Anfang XIV										Chorherrenstift Seckau			
1314		37/45	4°	Papier	165	21 : 14												XIV/2																Zisterzienserstift Neuberg			
1315				Papier	100	21 : 15																		nach 1521													
1316		34/69	4°	Papier	127	20 : 15	1375	122v			1394	127v																									
1317		38/32	4°	Papier	8, 143	21 : 14												XV																			
1318				Papier	93	21 : 15	1671																											Kartause Seitz			
1319				Papier	192	20 : 15	1639																														
1320				Papier	181	19 : 15	1736																														
1321		34/27	4°	Papier	310	20 : 16	1608	310v																										Graz, Ferdinandeum 1709			
1322				Papier	366	19 : 15												XVII																			
1323				Papier	227	20 : 15	1641																														
1324				Papier	146	21 : 15																		Anfang XVIII													
1325				Papier	200	20 : 15	1741																														
1326		33/71	4°	Papier	II,348	20 : 15																		Anfang XVIII													
1327		34/68	4°	Papier	272	20 : 15				1610-1611																								Benediktinerstift St. Lambrecht			
1328				Papier	173	20 : 15	1671																														
1329				Papier	280	20 : 15																		1606/7													
1330		42/137	4°	Papier	93	20 : 15	1379	92																										Dominikanerkloster Leoben			
1331				Papier	70	20 : 15												XVI/2																			
1332		33/50	4°	Papier	158	20 : 16												XVII/2																			
1333	1			Papier		20 : 15	 			1618-1619																											
1333	2			Papier		20 : 15				1618-1619																											
1334	1			Papier		20 : 13				1620-1621																											
1334	2			Papier		20 : 13				1620-1621																											
1335		33/68	4°	Papier	134	20 : 16												XVIII																			
1336	1	33/69	4°	Papier	492	20 : 15												XVII																Benediktinerstift St. Lambrecht			
1336	2	33/69	4°	Papier	381	20 : 15												XVII																Benediktinerstift St. Lambrecht			
1336	3	33/69	4°	Papier	370	20 : 15												XVII																Benediktinerstift St. Lambrecht			
1337				Papier	275	19 : 15	1622																														
1338				Papier	III, 160	19 : 15				1615-1616																											
1339	1	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	2	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	3	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	4	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	5	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	6	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	7	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	8	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	9	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1339	10	33/23	4°	Papier		20 : 15 (12)												XVIII/1																			
1340				Papier	122	20 : 15																		um 1700													
1341	1			Papier		20 : 15																		um 1696													
1341	2			Papier		20 : 15																		um 1696													
1342				Papier	516	20 : 15																		Ende XVII													
1343				Papier	64	19 : 15												XVIII																			
1344		33/29	4°	Papier	48	20 : 14																		Anfang XV										Chorherrenstift Seckau			
1345				Papier	430	19 : 14																		nach 1668													
1346		34/71	4°	Papier	268	20 : 15	1637	11v																										Benediktinerstift St. Lambrecht			
1347		42/109	4°	Papier	I, 157	21 : 14												XIV																Chorherrenstift Seckau			
1348		35/73	4°	Papier	74	21 : 16												XVII																			
1349		35/74	4°	Papier	115	20 : 14	1392	112v																										Benediktinerstift St. Lambrecht			
1350		42/106	4°	Papier	124	20 : 15												XIV/2																Benediktinerstift St. Lambrecht			
1351				Papier	185	20 : 15																		nach 1659										Kartause Seitz			
1352		33/35	4°	Papier	152	20 : 16																		1643/4										Jesuitenkolleg Graz			
1353		42/110	4°	Pergament	142	20 : 14																		Anfang XIII										Chorherrenstift Seckau			
1354		35/72	4°	Papier	122	20 : 15																		nach 1615 										Kartause Seitz			
1355				Papier	112	20 : 16												XVII																			
1356		34/34	4°	Pergament	61	20 : 13												XIV																Chorherrenstift Seckau			
1357		34/39	4°	Papier	109	20 : 15	1371	97v										XV	ab 98															Benediktinerstift St. Lambrecht			
1358		34/35	4°	Papier	36	20 : 15																		um 1500										Chorherrenstift Seckau			
1359				Papier	40	20 : 15												XVI																			
1360				Papier	264	21 : 13				1592-1594																											
1361				Papier	72	20 : 15																		um 1600													
1362				Papier	130	20 : 15	1708				1709																							Jesuitenkolleg Leoben			
1363		34/77	4°	Papier	I, 90	20 : 14												XIV/2																			
1364				Papier	VI, 315	20 : 13	1624																											Benediktinerstift St. Lambrecht			
1365		33/75	4°	Papier	202	20 : 16				1642-1643																								Jesuitenkolleg Graz			
1366				Papier	154	20 : 14																		um 1700													
1367		41/86	4°	Pergament	81	20 : 14																		vor 1359										Benediktinerstift St. Lambrecht			
1368		42/79	4°	Papier	307	20 : 14																		nach 1616										Benediktinerstift St. Lambrecht			
1369				Papier	351	21 : 13				1592-1593																											
1370		35/53	4°	Papier	112	20 : 13												XIV																Kartause Seitz			
1371		42/75	4°	Papier	156	20 : 15												XVII/2																Benediktinerstift St. Lambrecht			
1372				Papier	101	20 : 15																		um 1700													
1373				Papier	232	20 : 15	1610																											Benediktierstift St. Lambrecht			
1374				Papier	266	20 : 14																		nach 1748													
1375		35/39	4°	Papier	274	20 : 14	1425	176v																										Chorherrenstift Seckau			
1376		35/40	4°	Papier	145	20 : 15												XIV/2																Benediktinerstift St. Lambrecht			
1377		34/72	4°	Papier	132	21 : 14	1424	125v																										Kartause Seitz			
1378				Papier	325	21 : 13	1595																														
1379				Papier	49	21 : 15				1692-1724																											49 beschriebene Bl.
1380		33/77	4°	Papier	271	19 : 14												XVII																			
1381	1			Papier		19 : 14	1620																											Benediktinerstift St. Lambrecht			
1381	2			Papier		19 : 14	1620																											Benediktinerstift St. Lambrecht			
1382	1			Papier		20 : 15				1621-1622																								Benediktinerstift St. Lambrecht			
1382	2			Papier		20 : 15				1621-1622																								Benediktinerstift St. Lambrecht			
1382	3			Papier		20 : 15				1621-1622																								Benediktinerstift St. Lambrecht			
1382	4			Papier		20 : 15				1621-1622																								Benediktinerstift St. Lambrecht			
1383				Papier	541	19 : 15				1622-1624																								Benediktinerstift St. Lambrecht			
1384		34/89	4°	Papier	119	20 : 14												XV/1																Chorherrenstift Seckau			
1385		42/83	4°	Pergament	71	20 : 15												XIV/1																Zisterzienserstift Neuberg			
1386		42/116	4°	Papier	119	20 : 17	1604																														
1387		42/117	4°	Papier	125	19 : 14												XVII																			
1388		42/65	4°	Papier	135	20 : 15												XVII																Kartause Seitz			
1389		42/66	4°	Papier	II, 113	20 : 16	1686																											Benediktinerstift St. Lambrecht			
1390		33/74	4°	Papier	209	20 : 15	1606																											Benediktinerstift St. Lambrecht			
1391		38/19	4°	Papier		19 : 15	1753																														s. Ms 1298 (lt. 3.  Bd. Kern)
1392				Papier	120	20 : 15												XVII/1																			
1393				Papier	252	20 : 15				1724-1725																											
1394				Papier	160	20 : 15				1735-1760																											
1395		33/24	4°	Papier	162	20 : 13												XIV/2																Kartause Seitz			
1396	1	35/63	4°	Papier	87	19 : 15	1698																														
1396	2	35/63	4°	Papier	99	19 : 15	1701																														
1397				Papier	184	19 : 15																		nach 1575													
1398				Papier	174	19 : 15												XVI																			
1399		35/59	4°	Papier	168	19 : 16												XVII																Kartause Seitz			
1400				Papier	122	19 : 15	1630																											Benediktinerstift St. Lambrecht			
1401		35/10	4°	Papier	177	19 : 13												XVII																Benediktinerstift St. Lambrecht 			
1402			 	Papier	216	19 : 15	1667																														
1403		37/52	4°	Papier	363	19 : 15	1604	15v																													
1404				Papier	387	20 : 15	1668																											Benediktinerstift St. Lambrecht 			
1405		39/28	4°	Pergament, Papier	231	20 : 15												XIV																Benediktinerstift St. Lambrecht 			Pergament Bl. 1-60, 109-150, 202-231
1406		35/54	4°	Papier	133	20 : 14												XV																Chorherrenstift Seckau			
1407		35/45	4°	Papier	98	20 : 16				1718-1719																											
1408		35/47	4°	Papier	225	20 : 15	1611																											Benediktinerstift St. Lambrecht 			
1409				Papier	201	20 : 16	1669																											Chorherrenstift Seckau			
1410		35/56	4°	Papier	111	20 : 14												XIV/2																Chorherrenstift Seckau			
1411		42/96	4°	Papier	238	20 : 15												XVII																			
1412		42/97	4°	Papier	345	20 : 15												XVII																Benediktinerstift St. Lambrecht 			
1413		39/29	4°	Pergament	I, 178	21 : 16												XIII/1																Jesuitenkollegium Graz			
1414		39/15	4°	Pergament	I, 214	20 : 13												XIII/2																Zisterzienserstift Neuberg			
1415		42/101	4°	Pergament	170	20 : 13																		Anfang XIII										Chorherrenstift Seckau			
1416		39/32	4°	Pergament	279	20 :14																		um 1300										Dominikanerkloster Pettau			
1417		39/33	4°	Pergament	182	19 : 14	1327	100	75-100									XIV 	1-37, 101-128	XIII/1	39-74			um 1300	129-182									Benediktinerstift Millstatt			 
1418		39/34	4°	Pergament	139	18 : 13												XIII/2																			
1419		41/53	4°	Pergament	359	18 : 12												XV/2																Chorherrenstift Seckau			
1420		42/121	4°	Pergament	459	19 : 14												XIV/2																			
1421		38/13	4°	Papier	540	19 : 17												XVII																Kartause Seitz			
1422		42/99	4°	Pergament, Papier	222	19 : 14												XIV																Benediktinerstift St. Lambrecht 			
1423		42/89	4°	Pergament	280	19 : 13												XIV																Chorherrenstift Seckau			
1424		42/98	4°	Pergament	625	18 : 14	1380	561																										Chorherrenstift Seckau			
1425		35/33	4°	Papier	452	18 : 15	1653																											Kartause Seitz			
1426				Papier	253	19 : 14	1687																														
1427				Papier	416	18 : 14																		Mitte XVII													
1428		39/51	4°	Pergament	258	19 : 14												XIV																			
1429		42/122	4°	Pergament	241	19 : 13												XV																			
1430		41/87	4°	Pergament	113	19 : 14	1381	113																										Chorherrenstift Seckau			
1431		39/25	4°	Pergament	188	19 : 14												XIV	ab 115					Ende XIII										Zisterzienserstift Neuberg			
1432		39/26	4°	Pergament	116	19 : 14																		um 1200										Chorherrenstift Seckau			
1433*		36/22	4°	Papier			1645																											Kartause Seitz			
1434		42/84	4°	Pergament	128	19 : 15												XIV																Benediktinerstift St. Lambrecht 			
1435*		42/104	4°	Pergament																																	
1436		40/1	8°	Pergament	404	19 : 13																		um 1300										Jesuitenkollegium Graz			
1437		39/50	4°	Pergament	I, 125	19 : 14												XIV/2																Zisterzienserstift Neuberg			
1438		35/55	4°	Papier	300	19 : 15	1611																											Benediktinerstift St. Lambrecht 			
1439		39/35	4°	Pergament	70	20 : 13																		um 1300										Zisterzienserstift Neuberg			
1440		39/47	4°	Pergament	489	18 : 13												XIII/2																Chorherrenstift Seckau			
1441		39/24	4°	Pergament	328	18 : 12																		um 1300										Zisterzienserstift Neuberg			
1442		39/23	4°	Pergament	139	18 : 13																		Anfang XIII													
1443		39/22	4°	Pergament	 I, 194	19 : 14																		Ende XIII													
1444*		37/1	4°	Pergament	436	18 : 13												XV																Benediktinerstift St. Lambrecht 			
1445		42/114	4°	Pergament	87	19 : 13												XIV																Benediktinerstift St. Lambrecht 			
1446		42/115	4°	Papier	III, 189	19 : 14				1667-1668																								Benediktinerstift St. Lambrecht 			s. Hs 1404
1447		42/118	4°	Pergament	II, 103	20 : 19																		Ende XIII										Benediktinerstift St. Lambrecht 			
1448		42/119	4°	Pergament	88	19 : 12												XIII/2																Zisterzienserstift Neuberg			
1449		42/120	4°	Pergament	151	18 : 13												XII/1																Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1450				Papier	120	19 : 15												XVII																			
1451*		42/113	4°	Pergament	I, 244	19 : 13												XIV																			
1452				Papier	168	19:15												XVII																			
1453		42/85	4°	Pergament	68	18 : 13												XIV/1																Benediktinerstift St. Lambrecht			
1454		42/86	4°	Pergament	396	18 : 13																		um 1300										Benediktinerstift St. Lambrecht			
1455				Papier	171	19 : 15	1682																											Kartause Seitz			
1456		39/37	4°	Pergament	166	18 : 14	1420	128v																													
1457		42/127	4°	Pergament	183	18 : 12																		Mitte XII										Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1458		42/129	4°	Pergament	168	17 : 13												XIV																Benediktinerstift St. Lambrecht			
1459				Papier	116	17 : 13	1571	116																													
1460				Papier	495	18 : 14																		Ende XVI		nach 1650								Kartause Seitz			
1461		42/123	4°	Pergament	51	18 : 13												XIV																Benediktinerstift St. Lambrecht			
1462		40/2	8°	Pergament	291	19 : 14												XV/1																Chorherrenstift Seckau			
1463		37/2	8°	Pergament	268	17 : 13	1357	267v																										Zisterzienserstift Neuberg			
1464		37/6	8°	Pergament	344	18 : 22																		Mitte XIV										Zisterzienserstift Neuberg			
1465		37/5	8°	Pergament	408	18 : 12												XIV/2																Chorherrenstift Seckau			
1466*		37/7	8°	Pergament														XIV																			
1467		39/45	4°	Pergament	133	18 : 13												XIV																			
1468		42/130	4°	Pergament	136	18 : 14												XIII/2																Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1469		42/131	4°	Pergament	175	18 : 12												XIV/2																Zisterzienserstift Neuberg			
1470		42/132	4°	Pergament	82	18 : 12												XIV/2																Chorherrenstift Seckau			
1471		41/83	4°	Pergament	291	17 : 13																		Anfang XIV													
1472		41/84	4°	Pergament	126	17 : 13																		Ende XIII										Chorherrenstift Seckau			
1473		39/48	4°	Pergament, Papier	218	18 : 13												XIV																Zisterzienserstift Neuberg			ab Bl. 108 Papier
1474		42/125	4°	Pergament	195	17 : 13	1423	164v			1423	195v																						Kartause Seitz			
1475*		41/82	4°	Pergament														XV																			
1476*		39/46	4°	Pergament			1316																														
1477*		39/36	4°	Pergament														XIV																			
1478		39/40	4°	Pergament	132	18 : 13												XIV																Benediktinerstift St. Lambrecht			
1479*		37/4	8°	Pergament														XIII																			
1480*		39/39	4°	Pergament																				um 1200													
1481				Papier	141	19 : 10	1720																											Zisterzienserstift Neuberg			
1482				Papier	77	19 : 13	1697																											Jesuitenkollegium Graz			
1483				Papier	V, 87	18 : 12																		ca. 1720										Chorherrenstift Seckau			
1484		41/96	4°	Pergament	58	19 : 12																		Anfang XIII										Chorherrenstift Seckau			
1485		41/97	4°	Pergament	47	18 : 12												XII/2																Chorherrenstift Seckau			
1486				Papier	185	18 : 11	1782																														
1487		41/90	8°	Pergament	108	18 : 13												XIV																Chorherrenstift Seckau			
1488		41/95	8°	Pergament	74	18 : 13																		nach 1310										Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1489		41/100	4°	Pergament	143	17 : 12												XIV																Zisterzienserstift Neuberg			
1490		41/88	8°	Pergament	151	17 : 12												XII																Benediktinerstift St. Lambrecht			
1491		41/89	8°	Pergament	92	17 : 13	1344	91																										Benediktinerstift St. Lambrecht			
1492		39/52	4°	Pergament	60	18 : 13																		um 1300													
1493		41/94	4°	Pergament	130	18 : 12																		Ende XIV										Chorherrenstift Seckau			
1494		39/51	4°	Pergament	134	17 : 12												XIII																Benediktinerstift St. Lambrecht			
1495		41/92	8°	Pergament	95	18 : 12												XII	1 bis 53					um 1300	54 - 95									Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1496		41/102	4°	Pergament	168	18 : 13																		Ende XIII										Benediktinerstift St. Lambrecht			
1497*		39/41	4°	Pergament																				Ende XIV													
1498*		39/42	4°	Pergament														XIV																			
1499		39/55	4°	Pergament	531	16 : 12																		Ende XIII										Benediktinerstift Millstatt		Jesuitenkollegium Graz	
1500		39/56	4°	Pergament	165	16 : 12												XIV																			
1501		39/59	8°	Pergament	134	16:13												XII/2																Chorherrenstift Seckau			
1502*		42/102	4°	Pergament	288	19:13																		um 1300										Benediktinerstift Millstatt		Jesuitenkollegium Graz	Die Hs. ist seit 1945 verschollen.
1503*		41/91	4°	Pergament	258	18:12																		um 1300										Benediktinerstift Millstatt		Jesuitenkollegium Graz	Die Hs. ist seit 1945 verschollen.
1504*		41/99	8°	Pergament			1331																														Die Hs. ist seit 1945 verschollen.
1505*		41/101	8°	Pergament	230	17:12												XIV																Chorherrenstift Seckau			Die Hs. ist seit 1945 verschollen.
1506*		34/1	8°	Pergament	395	17:12	1514	299v																										Benediktinerstift St. Lambrecht			Die Hs. ist seit 1945 verschollen.
1507*		41/93	8°	Pergament	144	17:13												XIV																Kartause Seitz			Die Hs. ist seit 1945 verschollen.
1508*		39/49	4°	Pergament	I, 124	17:13												XIV																Benediktinerstift St. Lambrecht			Die Hs. ist seit 1945 verschollen.
1509		41/98	4°	Pergament	107	17:11												XV/2		XVI	ab 92													Benediktinerstift St. Lambrecht			
1510		34/7	8°	Papier	59	17:11																		um 1780													
1511	1	34/5	8°	Papier	196	17:11												XVII																			
1511	2	34/5	8°	Papier	113	17:11												XVII																			
1512		34/4	8°	Papier	143	17:11												XVI																Kartause Seitz			
1513		40/4	8°	Pergament	81	18:13												XIV																Kartause Seitz			
1514		41/103	4°	Pergament	124	17:11												XIV																Chorherrenstift Seckau			
1515		42/1	8°	Pergament	128	17:11																		um 1200										Chorherrenstift Seckau			
1516		42/2	8°	Papier	153	16:10																		Ende XVII													
1517		39/68	4°	Pergament	I, 121	15:10																		um 1300										Benediktinerstift St. Lambrecht			
1518		39/69	8°	Pergament	56	16:10												XIII																Kartause Seitz			
1519		40/5	8°	Pergament	286	16:11												XIII/2																Kartause Seitz			
1520		33/2	8°	Pergament	49	17:12												XII																			
1521		33/3	8°	Pergament	429	17:11												XV																Benediktinerstift St. Lambrecht			
1522		33/7	8°	Papier	48	17:11	1646																														
