Signatur modern	Bd.	Signatur alt	Format	Beschreibstoff	Umfang	Größe h : b   	1. Dat. exakt	1. Dat. ex. fol.	1. Dat. ex. Fol.  von-bis	1. Dat. Ex. Von - bis	2. Dat. Exakt	2. Dat. ex. fol.	2. Dat. Ex. von-bis	3. Dat. Exakt	3. Dat. ex. fol.	4.Dat.ex	4.Dat. Ex.fol.	1. Dat. Jh. 	1. Dat.Jh. Fol./von-bis	2. Dat. Jh. 	2. Dat.Jh. Fol./von-bis	3. Dat. Jh.	3. Jh. Fol./von-bis	1. Dat. ca., um, vor, Anfang, Ende	1. Dat. ca., fol.	2. Dat. ca., um, vor, Anfang, Ende	2. Dat. ca., von-bis	2. Dat. ca., fol.	3. Dat. Ca.	3. Dat. Fol.	4. Dat. Ca.	4. Dat. Ca. fol.	1. VB natürl. Personen	1. Vorbesitz Institution	2. VB natürl. Personen	2. Vorbesitz Institution	Kommentar (fehlende Blätter …)
143		39/9	f°	Pergament	540	35 : 24																		um 1400									Johannes Sambucus	Grazer Hofbibliothek		Jesuitenkollegium in Graz	
144		41/15	f°	Pergament	I,337	35 : 25																		um 1300										Benediktinerstift St. Lambrecht			
145		38/30	f°	Pergament	231	35 : 25												XV																Kartause Seitz ?			
146		38/32	f°	Pergament	205	34 : 23	1442																											Chorherrenstift Seckau			
147		38/33	f°	Pergament	132	34 : 23												XV/2																Chorherrenstift Seckau			
148	1	41/38	f°	Pergament	104	33 : 23												XII																Benediktinerstift St. Lambrecht			
148	2	41/38	f°	Pergament	100	33 : 23												XII																Benediktinerstift St. Lambrecht			
148	3	39/8	f°	Pergament	220	35 : 25												XII																Benediktinerstift St. Lambrecht			
149		41/39	f°	Pergament	I, 258	34 : 22												XII																Benediktinerstift St. Lambrecht			
150		33/93	f°	Papier	1205	33 : 21												XVIII																Benediktinerstift St. Lambrecht			Ungebunden
151		33/94	f°	Papier	I, 83, 12	33 : 21	1560	82																										Hofbibliothek in Graz			
153		33/54	f°	Papier	II, 29	32 : 21	1766																											Jesuitenkollegium Graz			Pappband
154				Papier	33	35 : 23	1798																														Pappband
155		33/96	f°	Papier	12	36 : 23												XVIII																			in Umschlag
156		33/55	f°	Papier	15	38 : 24												XVIII																Jesuitenkollegium Graz			in Umschlag
157		33/105	f°	Papier	20					1806-1810																											in Umschlag
158		33/100	f°, 4°	Papier	18, 4					1618-1627																								Jesuitenkollegium Graz			18 Folio- und 4 Quartbl. in einer Mappe
159		33/101	f°	Papier	94					1603-1643																								Jesuitenkollegium Graz			in einem Schuber
160		33/92	f°	Papier	559	33 : 21												XVIII/1																Jesuitenkollegium Graz			Ungebunden
161		33/91	f°	Papier	44	33 : 21				1764-1772																								Jesuitenkollegium Graz			Ungebunden
162		33/90	f°	Papier	915	33 : 20				1754-1773																								Jesuitenkollegium Graz 			Ungebunden in 3 Schubern
163		33/53		Pergament	1 Rolle	427 : 28												XIV/2																			Pergamentrolle
164**		33/89	f°	Papier	930	34 : 22	1771																														 In 3 Schubern; Die Handschrift wurde dem Steiermärkischen Landesarchiv abgetreten.
165				Pergament	16	33 : 27	1602																											Jesuitenkollegium Graz			Pergamentumschlag
166*		33/108	 	Pergament	1 Rolle	93 : 66												XVI																			Pergamentrolle in Papphülse; Die Seekarte ist seit 1945 verschollen
167		40/84	4°	Pergament	207	25 : 17												XII																Chorherrenstift Seckau			
168	1	40/103	4°	Pergament	360	24 : 17												XIV/1															Leonhard aus Aflenz	Benediktinerstift St. Lambrecht 	 Johann Reitsperger aus Murau		
168	2	40/103	4°	Pergament	351	24 : 17	1336	297																									Leonhard aus Aflenz	Benediktinerstift St. Lambrecht 	 Johann Reitsperger aus Murau		
169		42/14	4°	Pergament	144	25 : 16												XII/1						Ende XII	ab 65								Dominus Petrus	 Chorherrenstift Seckau			
170		40/85	4°	Pergament	I, 165	26 : 18												XIII/1															Otto Tardus	Chorherrenstift Seckau			
171		40/86	4°	Pergament	I, 122	25 : 18												XII																Chorherrenstift Seckau			
172		40/76	4°	Pergament	86	26 : 18												XIV/1																Zisterzienserstift Neuberg			
173		40/87	4°	Pergament	186	25 : 18												XII/2																Chorherrenstift Seckau			
174		40/102	4°	Pergament	121	26 : 18												XIV 																Zisterzienserstift Neuberg			
175		40/108	4°	Pergament	I, 88	25 : 16												XV																Benediktinerstift St. Lambrecht			
176		40/77	4°	Pergament	261	26 : 19												XIV																Chorherrenstift Seckau			
177		40/107	4°	Pergament	120	24 : 17												XIII/1																Chorherrenstift Seckau			
178		40/110	4°	Pergament	134	24 : 17												XIV/2																			
179		40/94	4°	Pergament	244	25 : 17												XIV/1																			
180		40/78	4°	Pergament	76	25 : 18												XII/1																Benediktinerstift St. Lambrecht			
181		40/109	4°	Pergament	181	24 : 16												XII															Gottschalk, Pfarrer v. Klein-Lobming	Chorherrenstift Seckau			
182		40/92	4°	Pergament	288	25 : 17	1308	275v																									Jacobus de Arena	Benediktinerstift Millstatt		 Jesuitenkollegium Graz	
183		41/15	4°	Pergament	I, 130, I	25 : 16												XII	ab 83					um 1100		 		 						Chorherrenstift Seckau			
184		40/104	4°	Pergament	200	25 : 17												XII/1																Benediktinerstift St. Lambrecht			
185		40/101	4°	Pergament	157	26 : 18																		Anfang XIII										Benediktinerstift St. Lambrecht			
186		40/74	f°	Pergament	128	27: 18												XII																Benediktinerstift St. Lambrecht			
187		40/73	4°	Pergament	II, 183, I	27 : 19												XII/2																Chorherrenstift Seckau			
188		40/75	4°	Pergament	II, 105	27 : 18																		um 1200									Klemens Heuerraus	Benediktinerstift St. Lambrecht			
189		42/5	4°	Pergament	I, 124	26 : 18												XII/2																Chorherrenstift Seckau			
190		42/7	4°	Pergament	113	26 : 18												XIV																Zisterzienserstift Neuberg ?			
191		42/8	4°	Pergament	I, 177	26 : 18																		um 1300													
192		42/1	4°	Pergament	157	26 : 18												XIV/2																Zisterzienserstift Neuberg ?			
193		42/6	4°	Pergament	134	24 : 18												XIV/1																Benediktinerstift St. Lambrecht			
194		40/80	4°	Pergament	325	25 : 17																		Mitte XV										Benediktinerstift St. Lambrecht			
195		41/1	4°	Pergament	177	26 : 20		43v, 86v		1386-1387																								Benediktinerstift Millstatt		Jesuitenkollegium Graz	
196		41/18	4°	Pergament	62	26 : 16												XIV/2																Zisterzienserstift Neuberg			
197		40/56	f°	Pergament	231	26 : 18	1325		33-231v									XV																Chorherrenstift Seckau			 XV Jh. u. ab Bl. 33 : 1325 (Bl. 231v)
198		40/91	4°	Pergament	I, 257	25 : 18																		um 1200										Chorherrenstift Seckau			
199		40/113	4°	Pergament	146	24 : 18												XII																Benediktinerstift St. Lambrecht			
200		41/36	f°	Pergament	123	28 : 20												XIV																Chorherrenstift Seckau			
201		40/67	f°	Pergament	86	26 : 20																		um 1600										Kartause Seitz			
202		41/39	4°	Pergament	115	27 : 18												XV																Benediktinerstift Millstatt		Jesuitenkollegium Graz	
203		41/37	4°	Pergament	72	27 : 20	1331	72v																										Dominikanerkloster Pettau			
204		40/61	f°	Pergament	233	27 : 20												XIII	1-136	XV	137-232													Chorherrenstift Seckau			
205		41/21	4°	Pergament	123	26 : 17												XIV/2																Zisterzienserstift Neuberg			
206		42/9	4°	Pergament	217	25 : 17												XII																Benediktinerstift St. Lambrecht			
207		42/10	4°	Pergament	120	27 : 19												XV/1															Frater Rudolfus	Benediktinerstift St. Lambrecht			
208		42/13	4°	Pergament, Papier	70	24 : 16												XII/2	1-46															Chorherrenstift Seckau			Beigebunden Bl. 47-70. Dat. ?
209		42/12	4°	Pergament	113	26 : 17												XIV		XIII	55-75, 90-112													Jesuitenkollegium Graz			
210		42/11	4°	Pergament	89	26 : 19	1326	76																										Chorherrenstift Seckau			
211		40/90	4°	Pergament	159	25 : 18																		Anfang XIII										Chorherrenstift Seckau			
212		40/89	4°	Pergament	160	25 : 17												XII/2																Benediktinerstift St. Lambrecht			
213		41/16	4°	Pergament	183	25 : 18												XIII 	1-21	XIV/1	23-183													Zisterzienserstift Neuberg			
214		42/2	4°	Pergament	146	27 : 19												XIV/1																Zisterzienserstift Neuberg			
215		36/77	f°	Papier	384	28 : 20	1447	365																										Chorherrenstift Seckau			
216		33/37	f°	Papier	77	26 : 20																		um 1400										Chorherrenstift Seckau			
217		33/38	f°	Papier	58	27 : 21																		um 1500									Gabriel Gündrichinger		Wolf Hueber		1485 lt. Papieranalyse
218		34/38	f°	Papier	154	27 : 20												XVII																Kapuzinerkloster in Cormons			
219		42/35	f°	Papier	129	28 : 20												XV																Chorherrenstift Seckau			
220		34/36	f°	Papier	111	27 : 20												XVIII																			
221		34/37	f°	Papier	168	28 : 21												XV																Benediktinerstift St. Lambrecht			
222		40/79	4°	Pergament	230	26 : 19												XIV															Lucas canonicus	Chorherrenstift Seckau	Erhard Pöltinger		
223		40/82	f°	Pergament	244	26 : 17												XII																Chorherrenstift Seckau			
224		42/4	4°	Pergament	152	28 : 17												XII/1															Elbuin von Traföss	Chorherrenstift Seckau			
225		42/3	4°	Pergament	I, 75, I	28 : 18																		um 1300										Chorherrenstift Seckau			
226		41/38	4°	Pergament	86	28 : 20												XIII/1																Dominikanerkloster Straßburg i. E.			
227		34/30	f°	Papier	221	28 : 20												XVI																Chorherrenstift Seckau			
228		33/30	f°	Papier	I, 256, I	27 : 20												XV/2															Johannes Wiser	Jesuitenkollegium Leoben			
229		42/16	f°	Papier	I, 123	28 : 20	1423	121v																										Chorherrenstift Seckau			
230		42/17	f°	Papier	II, 174, II	28 : 20	1456	174v																										Chorherrenstift Seckau			
231		36/42	f°	Papier	199	27 : 20												XV															Michael Freysleben	Chorherrenstift Seckau			
232		35/42	f°	Papier	II, 165	28 : 20												XV																Chorherrenstift Seckau			
233		36/64	f°	Papier	I, 128, II	27 : 20												XIV/2																Chorherrenstift Seckau			
234		41/30	4°	Pergament	243	27 : 17												XIII																Dominikanerkloster Pettau			
235		41/28	4°	Pergament	224	25 : 17												XIII																Benediktinerstift St. Lambrecht			
236		40/69	4°	Pergament	219, I	26 : 18																		um 1200										Jesuitenkollegium Graz			
237		41/33	4°	Pergament	182	27 : 19												XII																Chorherrenstift Seckau			
238		41/34	4°	Pergament	 I, 134	27 : 19												XI/2																Chorherrenstift Seckau			
239		40/50	f°	Pergament	213	27 : 17												XII/2																Kartause Seitz			
240		40/54	f°	Pergament	226	28 : 19												XIII/1																Benediktinerstift St. Lambrecht			
241		41/31	4°	Pergament	159	27 : 19												XIV/1															Martinus Chorherr in Klosterneuburg	Chorherrenstift Seckau			
242		40/57	f°	Pergament	170	28 : 20												XII/2																Chorherrenstift Seckau			
243		35/8	f°	Papier, Pergament	210	30 : 22												XIV/2															Nikolaus von Zwittau	Kirche Mariazell		Benediktinerstift St. Lambrecht	Papier und einige Pergamentblätter
244		35/5	f°	Papier	I, 432	29 : 21												XV/2															Wolfgang Edlerpeck	Zisterzienserstift Neuberg			
245		38/49	f°	Papier	99	30 : 22												XIV/2																Zisterzienserstift Neuberg			
246		38/48	f°	Papier	I, 205	30 : 22	1407	109v																										Zisterzienserstift Neuberg			
247		42/10	f°	Papier	243	29 : 21		81v, 136, 172v		1416-1417																								Benediktinerstift St. Lambrecht			
248		36/27	f°	Papier	251	29 : 22		14v, 140, 197		1453-54																								Benediktinerstift St. Lambrecht			
249		41/48	f°	Pergament	159	30 : 23												XV/1																Chorherrenstift Seckau			
250		33/84	f°	Papier	112	30 : 19	1728																														Benediktinerstift Admont??
251		33/78	f° 	Papier	II, 157	29 : 20	1730																														
252		33/79	f° 	Papier	I, 111	30 : 22												XIV/2																Zisterzienserstift Neuberg			
253		33/81	f° 	Papier	169	30 : 22												XV/1																Zisterzienserstift Neuberg			
254		33/80	f° 	Papier	V, 159	31 : 20																		um 1700													
255		37/42	f° 	Papier	I, 138	29 : 22												XIV/2																Chorherrenstift Seckau			
256		37/40	f° 	Papier	417	29 : 21																		Nach 1441	347									Zisterzienserstift Neuberg			
257		37/37	f° 	Papier	188	29 : 22	1360	171v																										Zisterzienserstift Neuberg			
258		37/35	f° 	Pergament	176	29 : 20												XII/2																Benediktinerstift St. Lambrecht			
259		42/8	f° 	Papier	I, 211, I	28 : 21																		Anfang XV										Chorherrenstift Seckau			
260	1	38/61	f° 	Papier	335	29 : 22												XV/1																Benediktinerstift St. Lambrecht			
